FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.37003,37003,912340442,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,7,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,13,RSS,POINT (-16.43 28.16)
M1_DATA.37004,37004,34003032,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,11,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,1,101,GJE,POINT (-16.32 28.4)
M1_DATA.37005,37005,34003032,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,11,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,2,100,GJE,POINT (-16.32 28.4)
M1_DATA.37006,37006,34003032,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,11,Chordata,Actinopterygii,Sparidae,Diplodus sargus,1,4,GJE,POINT (-16.32 28.4)
M1_DATA.37007,37007,34003032,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,11,Chordata,Actinopterygii,Mullidae,Mullus surmuletus,1,6,GJE,POINT (-16.32 28.4)
M1_DATA.37008,37008,34003032,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,11,Chordata,Actinopterygii,Sparidae,Pagellus erythrinus,1,1,GJE,POINT (-16.32 28.4)
M1_DATA.37009,37009,34003032,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,11,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,1,4,GJE,POINT (-16.32 28.4)
M1_DATA.37010,37010,34003032,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,11,Chordata,Actinopterygii,Tetraodontidae,Sphoeroides marmoratus,1,3,GJE,POINT (-16.32 28.4)
M1_DATA.37011,37011,34003032,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,11,Chordata,Actinopterygii,Synodontidae,Synodus synodus,1,2,GJE,POINT (-16.32 28.4)
M1_DATA.37012,37012,34003032,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,11,Chordata,Actinopterygii,Labridae,Thalassoma pavo,2,42,GJE,POINT (-16.32 28.4)
M1_DATA.37089,37089,34003963,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,9,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,2,125,FPC,POINT (-16.32 28.4)
M1_DATA.37090,37090,34003963,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,9,Chordata,Actinopterygii,Aulostomidae,Aulostomus strigosus,1,1,FPC,POINT (-16.32 28.4)
M1_DATA.37091,37091,34003963,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,9,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,2,9,FPC,POINT (-16.32 28.4)
M1_DATA.37092,37092,34003963,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,9,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,2,11,FPC,POINT (-16.32 28.4)
M1_DATA.37093,37093,34003963,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,9,Chordata,Actinopterygii,Sparidae,Diplodus sargus,1,1,FPC,POINT (-16.32 28.4)
M1_DATA.37094,37094,34003963,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,9,Chordata,Actinopterygii,Scorpaenidae,Scorpaena maderensis,2,1,FPC,POINT (-16.32 28.4)
M1_DATA.37095,37095,34003963,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,9,Chordata,Actinopterygii,Serranidae,Serranus atricauda,1,1,FPC,POINT (-16.32 28.4)
M1_DATA.37096,37096,34003963,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,9,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,1,1,FPC,POINT (-16.32 28.4)
M1_DATA.37097,37097,34003963,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-10-13T13:00:00Z,9,Chordata,Actinopterygii,Labridae,Thalassoma pavo,2,78,FPC,POINT (-16.32 28.4)
M1_DATA.37098,37098,912340437,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-12-10T13:00:00Z,4.5,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,2,191,RSS,POINT (-16.32 28.4)
M1_DATA.37099,37099,912340437,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-12-10T13:00:00Z,4.5,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,2,2,RSS,POINT (-16.32 28.4)
M1_DATA.37100,37100,912340437,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-12-10T13:00:00Z,4.5,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,2,27,RSS,POINT (-16.32 28.4)
M1_DATA.37101,37101,912340437,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-12-10T13:00:00Z,4.5,Chordata,Actinopterygii,Labridae,Thalassoma pavo,2,139,RSS,POINT (-16.32 28.4)
M1_DATA.37102,37102,912340439,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-12-10T13:00:00Z,5,Chordata,Actinopterygii,Blenniidae,Ophioblennius atlanticus,1,25,FPC,POINT (-16.32 28.4)
M1_DATA.37103,37103,912340439,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-12-10T13:00:00Z,5,Chordata,Actinopterygii,Serranidae,Serranus atricauda,1,1,FPC,POINT (-16.32 28.4)
M1_DATA.37104,37104,912340439,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-12-10T13:00:00Z,5,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,1,5,FPC,POINT (-16.32 28.4)
M1_DATA.37105,37105,912340439,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2011-12-10T13:00:00Z,5,Chordata,Actinopterygii,Labridae,Thalassoma pavo,2,63,FPC,POINT (-16.32 28.4)
M1_DATA.37106,37106,912349252,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2012-08-02T14:00:00Z,6,Chordata,Actinopterygii,Blenniidae,Ophioblennius atlanticus,2,5,DHP,POINT (-16.32 28.4)
M1_DATA.37107,37107,912349252,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2012-08-02T14:00:00Z,6,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,2,5,DHP,POINT (-16.32 28.4)
M1_DATA.37108,37108,912349252,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2012-08-02T14:00:00Z,6,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,2,22,JASF,POINT (-16.32 28.4)
M1_DATA.37109,37109,912349252,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2012-08-02T14:00:00Z,6,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,1,5,JASF,POINT (-16.32 28.4)
M1_DATA.37110,37110,912349252,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN10,Radazul,28.4,-16.32,2012-08-02T14:00:00Z,6,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,3,JASF,POINT (-16.32 28.4)
M1_DATA.37111,37111,912349306,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,11.5,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,1,1,JASF,POINT (-13.34 29.28)
M1_DATA.37112,37112,912349306,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,11.5,Chordata,Actinopterygii,Labridae,Coris julis,1,9,JASF,POINT (-13.34 29.28)
M1_DATA.37113,37113,912349306,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,11.5,Chordata,Actinopterygii,Kyphosidae,Kyphosus sectatrix,1,12,JASF,POINT (-13.34 29.28)
M1_DATA.37114,37114,912349306,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,11.5,Chordata,Actinopterygii,Carangidae,Seriola rivoliana,1,4,JASF,POINT (-13.34 29.28)
M1_DATA.37143,37143,912349306,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,11.5,Chordata,Actinopterygii,Serranidae,Serranus atricauda,2,2,JASF,POINT (-13.34 29.28)
M1_DATA.37144,37144,912349306,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,11.5,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,2,8,JASF,POINT (-13.34 29.28)
M1_DATA.37145,37145,912349307,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,12.7,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,2,126,JASF,POINT (-13.34 29.28)
M1_DATA.37146,37146,912349307,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,12.7,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,2,9,JASF,POINT (-13.34 29.28)
M1_DATA.37147,37147,912349307,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,12.7,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,1,4,JASF,POINT (-13.34 29.28)
M1_DATA.37148,37148,912349307,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN100,ROQUE DEL ESTE,29.28,-13.34,2015-05-23T14:00:00Z,12.7,Chordata,Actinopterygii,Labridae,Thalassoma pavo,2,2,JASF,POINT (-13.34 29.28)
M1_DATA.37149,37149,912349308,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN101,ROQUE DEL ESTE SUR,29.28,-13.34,2015-05-23T14:00:00Z,10,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,2,8,JASF,POINT (-13.34 29.28)
M1_DATA.37150,37150,912349308,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN101,ROQUE DEL ESTE SUR,29.28,-13.34,2015-05-23T14:00:00Z,10,Chordata,Actinopterygii,Serranidae,Serranus atricauda,1,3,JASF,POINT (-13.34 29.28)
M1_DATA.37151,37151,912349308,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN101,ROQUE DEL ESTE SUR,29.28,-13.34,2015-05-23T14:00:00Z,10,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,1,8,JASF,POINT (-13.34 29.28)
M1_DATA.37152,37152,912349308,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN101,ROQUE DEL ESTE SUR,29.28,-13.34,2015-05-23T14:00:00Z,10,Chordata,Actinopterygii,Labridae,Thalassoma pavo,2,64,JASF,POINT (-13.34 29.28)
M1_DATA.37153,37153,912349309,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN101,ROQUE DEL ESTE SUR,29.28,-13.34,2015-05-23T14:00:00Z,10.5,Chordata,Actinopterygii,Labridae,Centrolabrus trutta,2,6,JASF,POINT (-13.34 29.28)
M1_DATA.37154,37154,912349309,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN101,ROQUE DEL ESTE SUR,29.28,-13.34,2015-05-23T14:00:00Z,10.5,Chordata,Actinopterygii,Labridae,Coris julis,2,1,JASF,POINT (-13.34 29.28)
M1_DATA.37155,37155,912349309,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN101,ROQUE DEL ESTE SUR,29.28,-13.34,2015-05-23T14:00:00Z,10.5,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,100,JASF,POINT (-13.34 29.28)
M1_DATA.37156,37156,912349310,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN102,ALEGRANZA,29.39,-13.5,2015-05-24T14:00:00Z,8.5,Chordata,Actinopterygii,Labridae,Centrolabrus trutta,1,12,JASF,POINT (-13.5 29.39)
M1_DATA.37157,37157,912349310,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN102,ALEGRANZA,29.39,-13.5,2015-05-24T14:00:00Z,8.5,Chordata,Actinopterygii,Blenniidae,Ophioblennius atlanticus,2,1,JASF,POINT (-13.5 29.39)
M1_DATA.37158,37158,912349310,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN102,ALEGRANZA,29.39,-13.5,2015-05-24T14:00:00Z,8.5,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,35,JASF,POINT (-13.5 29.39)
M1_DATA.37159,37159,912349311,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN102,ALEGRANZA,29.39,-13.5,2015-06-24T14:00:00Z,10.8,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,1,3,JASF,POINT (-13.5 29.39)
M1_DATA.37160,37160,912349311,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN102,ALEGRANZA,29.39,-13.5,2015-06-24T14:00:00Z,10.8,Chordata,Actinopterygii,Scombridae,Sarda sarda,2,80,JASF,POINT (-13.5 29.39)
M1_DATA.37161,37161,912349311,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN102,ALEGRANZA,29.39,-13.5,2015-06-24T14:00:00Z,10.8,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,60,JASF,POINT (-13.5 29.39)
M1_DATA.37162,37162,912345072,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN103,Alegranza South,29.38,-13.52,2015-07-24T14:00:00Z,10.2,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,1,2,JASF,POINT (-13.52 29.38)
M1_DATA.37163,37163,912345072,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN103,Alegranza South,29.38,-13.52,2015-07-24T14:00:00Z,10.2,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,6,JASF,POINT (-13.52 29.38)
M1_DATA.37164,37164,912345073,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN103,Alegranza South,29.38,-13.52,2015-06-24T14:00:00Z,10.3,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,1,2,JASF,POINT (-13.52 29.38)
M1_DATA.37165,37165,912345073,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN103,Alegranza South,29.38,-13.52,2015-06-24T14:00:00Z,10.3,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,1,72,JASF,POINT (-13.52 29.38)
M1_DATA.37166,37166,912345073,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN103,Alegranza South,29.38,-13.52,2015-06-24T14:00:00Z,10.3,Chordata,Actinopterygii,Sparidae,Diplodus cervinus,2,2,JASF,POINT (-13.52 29.38)
M1_DATA.37167,37167,912345073,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN103,Alegranza South,29.38,-13.52,2015-06-24T14:00:00Z,10.3,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,50,JASF,POINT (-13.52 29.38)
M1_DATA.37194,37194,912345074,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN104,La Lajita,28.18,-14.16,2015-05-27T14:00:00Z,5.4,Chordata,Actinopterygii,Haemulidae,Pomadasys incisus,1,39,JASF,POINT (-14.16 28.18)
M1_DATA.37195,37195,912345080,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN104,La Lajita,28.18,-14.16,2015-05-27T14:00:00Z,6.3,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,1,12,JASF,POINT (-14.16 28.18)
M1_DATA.37196,37196,912345080,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN104,La Lajita,28.18,-14.16,2015-05-27T14:00:00Z,6.3,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,2,11,JASF,POINT (-14.16 28.18)
M1_DATA.37197,37197,912345080,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN104,La Lajita,28.18,-14.16,2015-05-27T14:00:00Z,6.3,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,1,118,JASF,POINT (-14.16 28.18)
M1_DATA.37198,37198,912345080,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN104,La Lajita,28.18,-14.16,2015-05-27T14:00:00Z,6.3,Chordata,Actinopterygii,Haemulidae,Pomadasys incisus,1,26,JASF,POINT (-14.16 28.18)
M1_DATA.37199,37199,912345080,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN104,La Lajita,28.18,-14.16,2015-05-27T14:00:00Z,6.3,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,25,JASF,POINT (-14.16 28.18)
M1_DATA.37200,37200,912345081,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN105,Punta Jandia,28.07,-14.5,2015-05-27T14:00:00Z,4,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,1,19,JASF,POINT (-14.5 28.07)
M1_DATA.37201,37201,912345081,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN105,Punta Jandia,28.07,-14.5,2015-05-27T14:00:00Z,4,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,2,17,JASF,POINT (-14.5 28.07)
M1_DATA.37202,37202,912345081,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN105,Punta Jandia,28.07,-14.5,2015-05-27T14:00:00Z,4,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,1,16,JASF,POINT (-14.5 28.07)
M1_DATA.37203,37203,912345081,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN105,Punta Jandia,28.07,-14.5,2015-05-27T14:00:00Z,4,Chordata,Actinopterygii,Tetraodontidae,Sphoeroides marmoratus,1,1,JASF,POINT (-14.5 28.07)
M1_DATA.37204,37204,912345081,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN105,Punta Jandia,28.07,-14.5,2015-05-27T14:00:00Z,4,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,16,JASF,POINT (-14.5 28.07)
M1_DATA.37205,37205,912345082,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN105,Punta Jandia,28.07,-14.5,2015-05-27T14:00:00Z,5.3,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,1,6,JASF,POINT (-14.5 28.07)
M1_DATA.37206,37206,912345082,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN105,Punta Jandia,28.07,-14.5,2015-05-27T14:00:00Z,5.3,Chordata,Actinopterygii,Sparidae,Pagellus erythrinus,2,1,JASF,POINT (-14.5 28.07)
M1_DATA.37207,37207,912345082,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN105,Punta Jandia,28.07,-14.5,2015-05-27T14:00:00Z,5.3,Chordata,Actinopterygii,Sparidae,Sarpa salpa,1,6,JASF,POINT (-14.5 28.07)
M1_DATA.37208,37208,912345082,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN105,Punta Jandia,28.07,-14.5,2015-05-27T14:00:00Z,5.3,Chordata,Actinopterygii,Serranidae,Serranus cabrilla,2,1,JASF,POINT (-14.5 28.07)
M1_DATA.37209,37209,912345083,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN106,Pozo Negro,28.32,-13.89,2015-05-27T14:00:00Z,3.5,Chordata,Actinopterygii,Sparidae,Sarpa salpa,1,30,JASF,POINT (-13.89 28.32)
M1_DATA.37210,37210,912345083,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN106,Pozo Negro,28.32,-13.89,2015-05-27T14:00:00Z,3.5,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,2,1,JASF,POINT (-13.89 28.32)
M1_DATA.37211,37211,912345084,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN106,Pozo Negro,28.32,-13.89,2015-05-27T14:00:00Z,3,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,2,6,JASF,POINT (-13.89 28.32)
M1_DATA.37212,37212,912345084,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN106,Pozo Negro,28.32,-13.89,2015-05-27T14:00:00Z,3,Chordata,Actinopterygii,Labridae,Thalassoma pavo,2,15,JASF,POINT (-13.89 28.32)
M1_DATA.37213,37213,912349266,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN107,Valle Gran Rey,28.08,-17.33,2015-05-03T14:00:00Z,6,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,2,2,JASF,POINT (-17.33 28.08)
M1_DATA.37214,37214,912349266,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN107,Valle Gran Rey,28.08,-17.33,2015-05-03T14:00:00Z,6,Chordata,Actinopterygii,Sparidae,Diplodus vulgaris,1,1,JASF,POINT (-17.33 28.08)
M1_DATA.37215,37215,912349267,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN107,Valle Gran Rey,28.08,-17.33,2015-05-03T14:00:00Z,7.9,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,2,15,JASF,POINT (-17.33 28.08)
M1_DATA.37216,37216,912349267,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN107,Valle Gran Rey,28.08,-17.33,2015-05-03T14:00:00Z,7.9,Chordata,Actinopterygii,Haemulidae,Pomadasys incisus,1,12,JASF,POINT (-17.33 28.08)
M1_DATA.37217,37217,912349267,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN107,Valle Gran Rey,28.08,-17.33,2015-05-03T14:00:00Z,7.9,Chordata,Actinopterygii,Labridae,Thalassoma pavo,2,3,JASF,POINT (-17.33 28.08)
M1_DATA.37218,37218,912340438,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN11,Las Teresitas,28.51,-16.18,2011-12-07T13:00:00Z,4.7,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,2,110,FPC,POINT (-16.18 28.51)
M1_DATA.37328,37328,912342041,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN16,Teno Norte,28.34,-16.92,2012-01-13T13:00:00Z,4,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,2,5,RRE,POINT (-16.92 28.34)
M1_DATA.37329,37329,912342041,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN16,Teno Norte,28.34,-16.92,2012-01-13T13:00:00Z,4,Chordata,Actinopterygii,Sparidae,Diplodus sargus,1,5,RRE,POINT (-16.92 28.34)
M1_DATA.37330,37330,912342041,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN16,Teno Norte,28.34,-16.92,2012-01-13T13:00:00Z,4,Chordata,Actinopterygii,Scaridae,Sparisoma cretense,1,5,RRE,POINT (-16.92 28.34)
M1_DATA.37331,37331,912342041,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN16,Teno Norte,28.34,-16.92,2012-01-13T13:00:00Z,4,Chordata,Actinopterygii,Synodontidae,Synodus synodus,2,1,RRE,POINT (-16.92 28.34)
